                                                                              27 Jan 2024 12:56:21
Place-BahenGS-Sensor-Sensor2-To-Satellite-Finch:  Access Summary Report


Sensor2-To-Finch
----------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     251    11 Mar 2026 16:43:51.063    11 Mar 2026 16:47:20.398           209.336
                     252    11 Mar 2026 18:16:05.738    11 Mar 2026 18:23:10.157           424.419
                     253    12 Mar 2026 04:55:12.239    12 Mar 2026 05:02:37.948           445.708
                     254    12 Mar 2026 17:57:15.682    12 Mar 2026 18:04:40.094           444.412
                     255    13 Mar 2026 04:36:37.811    13 Mar 2026 04:43:50.586           432.775
                     256    13 Mar 2026 06:13:14.842    13 Mar 2026 06:15:26.441           131.599
                     257    13 Mar 2026 17:38:34.830    13 Mar 2026 17:45:55.122           440.292
                     258    13 Mar 2026 19:14:37.750    13 Mar 2026 19:16:29.389           111.639
                     259    14 Mar 2026 04:18:18.883    14 Mar 2026 04:24:53.478           394.594
                     260    14 Mar 2026 05:52:50.778    14 Mar 2026 05:58:05.545           314.768
                     261    14 Mar 2026 17:20:04.268    14 Mar 2026 17:26:54.184           409.916
                     262    14 Mar 2026 18:54:35.694    14 Mar 2026 18:59:29.134           293.441
                     263    15 Mar 2026 04:00:19.034    15 Mar 2026 04:05:43.140           324.106
                     264    15 Mar 2026 05:33:21.399    15 Mar 2026 05:39:55.924           394.525
                     265    15 Mar 2026 17:01:48.260    15 Mar 2026 17:07:32.953           344.693
                     266    15 Mar 2026 18:35:19.605    15 Mar 2026 18:41:36.845           377.240
                     267    16 Mar 2026 03:42:53.427    16 Mar 2026 03:46:04.577           191.150
                     268    16 Mar 2026 05:14:15.003    16 Mar 2026 05:21:29.083           434.080
                     269    16 Mar 2026 16:44:03.158    16 Mar 2026 16:47:34.919           211.761
                     270    16 Mar 2026 18:16:19.067    16 Mar 2026 18:23:23.104           424.037
                     271    17 Mar 2026 04:55:25.416    17 Mar 2026 05:02:51.134           445.718
                     272    17 Mar 2026 17:57:28.901    17 Mar 2026 18:04:53.218           444.317
                     273    18 Mar 2026 04:36:50.813    18 Mar 2026 04:44:03.880           433.067
                     274    18 Mar 2026 06:13:30.317    18 Mar 2026 06:15:37.601           127.284
                     275    18 Mar 2026 17:38:47.939    18 Mar 2026 17:46:08.424           440.485
                     276    18 Mar 2026 19:14:52.980    18 Mar 2026 19:16:40.221           107.241
                     277    19 Mar 2026 04:18:31.690    19 Mar 2026 04:25:06.899           395.209
                     278    19 Mar 2026 05:53:04.707    19 Mar 2026 05:58:18.181           313.474
                     279    19 Mar 2026 17:20:17.239    19 Mar 2026 17:27:07.687           410.448
                     280    19 Mar 2026 18:54:49.413    19 Mar 2026 18:59:41.548           292.134
                     281    20 Mar 2026 04:00:31.572    20 Mar 2026 04:05:56.760           325.188
                     282    20 Mar 2026 05:33:34.980    20 Mar 2026 05:40:08.837           393.857
                     283    20 Mar 2026 17:02:01.012    20 Mar 2026 17:07:46.745           345.733
                     284    20 Mar 2026 18:35:33.074    20 Mar 2026 18:41:49.580           376.506
                     285    21 Mar 2026 03:43:05.293    21 Mar 2026 03:46:18.796           193.503
                     286    21 Mar 2026 05:14:28.362    21 Mar 2026 05:21:42.152           433.790
                     287    21 Mar 2026 16:44:15.272    21 Mar 2026 16:47:49.419           214.147
                     288    21 Mar 2026 18:16:32.396    21 Mar 2026 18:23:36.048           423.652
                     289    22 Mar 2026 04:55:38.593    22 Mar 2026 05:03:04.318           445.725
                     290    22 Mar 2026 17:57:42.120    22 Mar 2026 18:05:06.339           444.220
                     291    23 Mar 2026 04:37:03.815    23 Mar 2026 04:44:17.172           433.357
                     292    23 Mar 2026 06:13:45.880    23 Mar 2026 06:15:48.673           122.793
                     293    23 Mar 2026 17:39:01.049    23 Mar 2026 17:46:21.722           440.673
                     294    23 Mar 2026 19:15:08.302    23 Mar 2026 19:16:50.960           102.659
                     295    24 Mar 2026 04:18:44.499    24 Mar 2026 04:25:20.318           395.820
                     296    24 Mar 2026 05:53:18.644    24 Mar 2026 05:58:30.810           312.166
                     297    24 Mar 2026 17:20:30.214    24 Mar 2026 17:27:21.188           410.974
                     298    24 Mar 2026 18:55:03.138    24 Mar 2026 18:59:53.957           290.819
                     299    25 Mar 2026 04:00:44.113    25 Mar 2026 04:06:10.373           326.261
                     300    25 Mar 2026 05:33:48.565    25 Mar 2026 05:40:21.748           393.183
                     301    25 Mar 2026 17:02:13.769    25 Mar 2026 17:08:00.533           346.764
                     302    25 Mar 2026 18:35:46.545    25 Mar 2026 18:42:02.314           375.768
                     303    26 Mar 2026 03:43:17.175    26 Mar 2026 03:46:33.002           195.826
                     304    26 Mar 2026 05:14:41.725    26 Mar 2026 05:21:55.220           433.495
                     305    26 Mar 2026 16:44:27.404    26 Mar 2026 16:48:03.902           216.498
                     306    26 Mar 2026 18:16:45.728    26 Mar 2026 18:23:48.991           423.263
                     307    27 Mar 2026 04:55:51.774    27 Mar 2026 05:03:17.502           445.728
                     308    27 Mar 2026 17:57:55.341    27 Mar 2026 18:05:19.460           444.118

Global Statistics
-----------------
Min Duration         294    23 Mar 2026 19:15:08.302    23 Mar 2026 19:16:50.960           102.659
Max Duration         307    27 Mar 2026 04:55:51.774    27 Mar 2026 05:03:17.502           445.728
Mean Duration                                                                              341.628
Total Duration                                                                          105221.395
